Net,Sta,Lat,Lon,Elev,Start,End
1A,CORRE,67.5828 S,144.2750 E,0,2009,2012
1A,PIDGE,66.9820 S,143.8930 E,0,2009,2012
1A,PINGU,67.5955 S,146.0770 E,50,2009,2012
1A,PORMA,66.8184 S,141.3900 E,27,2009,2012
1B,BUMA,0.6944 N,30.0663 E,984,2006,2006
1B,BURO,0.8609 N,30.1708 E,980,2006,2006
1B,BWRA,0.0339 N,29.7663 E,1228,2008,2008
1B,HARU,0.0002 N,29.7611 E,1096,2006,2006
1B,HUMY,0.7632 N,30.0392 E,816,2006,2006
1B,ITOJ,0.8440 N,30.2293 E,1037,2006,2006
1B,JACA,0.2834 S,30.0405 E,995,2008,2008
1B,KABA,0.7754 N,30.1319 E,918,2006,2006
1B,KABE,0.8687 N,30.4739 E,1300,2006,2007
1B,KABG,0.6309 N,30.6498 E,1355,2006,2007
1B,KAGO,0.6823 N,30.4606 E,1524,2006,2007
1B,KARA,0.0845 N,29.8952 E,1221,2006,2007
1B,KARU,0.7893 N,30.2208 E,1110,2006,2007
1B,KAS2,0.0315 S,30.1493 E,916,2007,2007
1B,KASE,0.0283 S,30.1491 E,920,2006,2006
1B,KASS,0.5757 N,30.3100 E,1497,2006,2007
1B,KIBU,0.9300 N,30.2400 E,686,2006,2007
1B,KILE,0.2057 N,30.0080 E,1349,2006,2008
1B,KINY,0.5107 N,30.1262 E,1700,2006,2007
1B,KISA,0.5938 N,30.7424 E,1294,2006,2007
1B,KMTW,0.7425 N,30.3844 E,1556,2006,2007
1B,MIRA,0.6585 N,30.5689 E,1377,2006,2007
1B,MWEY,0.1905 S,29.8996 E,959,2006,2007
1B,NGIT,0.6424 N,30.0342 E,987,2006,2006
1B,NYAN,0.2060 N,30.4474 E,1302,2006,2007
1B,RUBO,0.3429 N,30.0384 E,1648,2006,2007
1B,RUGA,0.2552 S,30.1026 E,1359,2007,2007
1B,RWEB,0.3206 N,30.4920 E,1285,2007,2007
1B,SEML,0.9091 N,30.3557 E,729,2007,2007
1B,SEMP,0.8351 N,30.1680 E,708,2006,2007
2B,BB05,26.0093 S,68.2433 W,4339,2008,2009
2B,BB06,25.5459 S,68.3723 W,3833,2008,2009
2B,BB16,26.6296 S,65.8657 W,2224,2008,2009
2B,BB17,25.9144 S,65.8959 W,1623,2008,2009
2B,BB18,26.5429 S,66.3629 W,2984,2008,2009
2B,BB20,25.4388 S,66.7866 W,4284,2008,2009
2B,BB21,25.5359 S,65.9414 W,2507,2008,2009
2B,EW01,26.7406 S,67.0108 W,3720,2007,2009
2B,EW02,26.7507 S,66.8370 W,3213,2007,2009
2B,EW03,26.8589 S,66.7570 W,3238,2007,2009
2B,EW04,26.8106 S,66.5056 W,2671,2007,2009
2B,EW05,26.7859 S,66.2952 W,2339,2007,2009
2B,EW06,26.8492 S,66.1280 W,2244,2007,2009
2B,EW07,26.8950 S,66.0440 W,2295,2007,2009
2B,EW08,26.9361 S,65.7888 W,2491,2007,2009
2B,EW22,26.9519 S,65.6929 W,2052,2007,2009
2B,EW24,27.0408 S,65.3976 W,376,2007,2009
2B,GALAN,25.8447 S,66.9481 W,4630,2007,2009
2B,NS01,26.0981 S,67.4263 W,3347,2007,2009
2B,NS02,26.2007 S,67.4143 W,3341,2007,2009
2B,NS03,26.3154 S,67.3869 W,3135,2007,2009
2B,NS04,26.4200 S,67.3371 W,3076,2007,2009
2B,NS19,26.0389 S,67.4071 W,3404,2007,2009
2B,NS20,25.9318 S,67.3708 W,3590,2007,2009
2B,NS21,25.8392 S,67.2941 W,4095,2007,2009
2B,NS22,25.7567 S,67.2659 W,4379,2007,2009
2B,NS23,25.6629 S,67.2264 W,4418,2007,2009
2B,NS24,25.5828 S,67.2344 W,4317,2007,2009
2B,NS25,25.5177 S,67.2103 W,4214,2007,2009
2B,NS26,25.4148 S,67.2066 W,4035,2007,2009
3A,MZ01,42.6716 N,13.2708 E,859,2016,2016
3A,MZ02,42.6699 N,13.2858 E,963,2016,2016
3A,MZ03,42.6770 N,13.2883 E,1093,2016,2016
3A,MZ04,42.6739 N,13.2938 E,978,2016,2016
3A,MZ05,42.6828 N,13.2856 E,1062,2016,2016
3A,MZ06,42.6647 N,13.2861 E,975,2016,2016
3A,MZ07,42.6495 N,13.3047 E,1012,2016,2016
3A,MZ08,42.6325 N,13.2866 E,897,2016,2016
3A,MZ09,42.6422 N,13.3070 E,990,2016,2016
3A,MZ095,42.6646 N,13.2337 E,1036,2016,2016
3A,MZ096,42.6613 N,13.2043 E,1073,2016,2016
3A,MZ097,42.6793 N,13.2258 E,1079,2016,2016
3A,MZ098,42.7309 N,13.2703 E,700,2016,2016
3A,MZ099,42.6801 N,13.2154 E,1151,2016,2016
3A,MZ10,42.6251 N,13.2998 E,979,2016,2016
3A,MZ100,42.6955 N,13.2552 E,737,2016,2016
3A,MZ101,42.7037 N,13.2632 E,849,2016,2016
3A,MZ102,42.7037 N,13.2320 E,1055,2016,2016
3A,MZ103,42.6959 N,13.2418 E,875,2016,2016
3A,MZ104,42.7125 N,13.2532 E,838,2016,2016
3A,MZ105,42.6927 N,13.2078 E,1010,2016,2016
3A,MZ11,42.6629 N,13.3076 E,1231,2016,2016
3A,MZ12,42.6280 N,13.2918 E,958,2016,2016
3A,MZ13,42.6384 N,13.2846 E,904,2016,2016
3A,MZ14,42.6254 N,13.3573 E,1391,2016,2016
3A,MZ15,42.6175 N,13.2200 E,1083,2016,2016
3A,MZ16,42.6199 N,13.2200 E,1003,2016,2016
3A,MZ17,42.6000 N,13.2321 E,987,2016,2016
3A,MZ18,42.5987 N,13.2298 E,1001,2016,2016
3A,MZ19,42.6411 N,13.2069 E,1107,2016,2016
3A,MZ20,42.6451 N,13.2327 E,1010,2016,2016
3A,MZ21,42.6516 N,13.2675 E,1046,2016,2016
3A,MZ22,42.6475 N,13.2917 E,1015,2016,2016
3A,MZ23,42.6478 N,13.2997 E,1025,2016,2016
3A,MZ24,42.6552 N,13.2885 E,912,2016,2016
3A,MZ25,42.6232 N,13.3192 E,1009,2016,2016
3A,MZ26,42.6236 N,13.3164 E,983,2016,2016
3A,MZ27,42.6124 N,13.2966 E,1007,2016,2016
3A,MZ28,42.6214 N,13.3079 E,992,2016,2016
3A,MZ29,42.6304 N,13.2925 E,881,2016,2016
3A,MZ30,42.6264 N,13.2906 E,951,2016,2016
3A,MZ31,42.6245 N,13.2899 E,878,2016,2016
3A,MZ50,42.5980 N,13.2180 E,1161,2016,2016
3A,MZ51,42.6379 N,13.2856 E,902,2016,2016
3A,MZ52,42.6738 N,13.2938 E,972,2016,2016
3A,MZ60,42.6350 N,13.3090 E,982,2016,2016
3A,MZ61,42.6343 N,13.3144 E,1001,2016,2016
3A,MZ62,42.6350 N,13.3260 E,1086,2016,2016
3A,MZ63,42.6298 N,13.3234 E,1071,2016,2016
3A,MZ64,42.6220 N,13.3390 E,1111,2016,2016
3A,VANGO,15.2966 S,166.8850 E,141,2008,2009
3A,VASAV,15.7335 S,167.2390 E,23,2008,2009
3A,VAVUN,15.6427 S,167.0980 E,24,2008,2009
3A,VBOKI,15.5924 S,167.2430 E,4,2008,2009
3A,VBUTM,15.3505 S,166.9990 E,531,2008,2009
3A,VEBEN,15.5674 S,166.9560 E,55,2008,2009
3A,VESPI,15.9737 S,167.1920 E,35,2008,2009
3A,VIRHO,15.4471 S,167.2030 E,66,2008,2009
3A,VKOLH,15.2190 S,167.1540 E,118,2008,2008
3A,VLAKA,16.1054 S,167.4220 E,14,2008,2009
3A,VLEBE,15.4148 S,166.9530 E,442,2008,2009
3A,VLEVI,16.1542 S,167.2510 E,43,2008,2009
3A,VNARW,15.9800 S,167.3430 E,62,2008,2009
3A,VPOTO,15.0889 S,167.2540 E,23,2008,2009
3A,VSALE,15.6460 S,166.8300 E,142,2008,2009
3A,VSARA,15.2293 S,166.9930 E,322,2008,2009
3A,VSULE,15.5156 S,166.7270 E,117,2008,2009
3A,VTAMB,15.4679 S,167.0710 E,227,2008,2009
3A,VTURT,15.3281 S,167.1660 E,32,2008,2009
3A,VWUSI,15.3669 S,166.6590 E,40,2008,2009
3E,COLR,20.4555 S,57.4853 E,0,2012,2014
3E,DARY,20.3500 S,57.6301 E,0,2012,2014
3E,FORE,20.2606 S,57.5937 E,0,2013,2014
3E,INDL,20.1832 S,57.5480 E,0,2012,2014
3E,MAML,20.1850 S,57.6380 E,0,2013,2014
3E,NPRK,20.3830 S,57.4214 E,0,2013,2014
3E,OLIV,20.3012 S,57.7425 E,0,2012,2014
3E,SEVN1,20.3935 S,57.5138 E,0,2012,2014
3E,VFAR1,20.2641 S,57.4412 E,0,2012,2014
3E,YEME,20.3373 S,57.4084 E,0,2012,2014
4A,CSA0,39.8406 N,15.9281 E,803,2012,2014
4A,CSA1,39.8403 N,15.9300 E,811,2012,2014
4A,CSA2,39.8422 N,15.9276 E,781,2012,2014
4A,CSA3,39.8396 N,15.9265 E,815,2012,2014
4A,CSA4,39.8403 N,15.9254 E,809,2012,2014
4A,CSA5,39.8420 N,15.9262 E,791,2012,2014
4A,CSB,39.8153 N,16.1677 E,561,2012,2014
4A,CSC,40.0083 N,15.9762 E,658,2012,2014
4A,CSD,39.9732 N,16.1684 E,972,2013,2014
4A,MI01,42.3580 N,13.5098 E,740,2009,2009
4A,MI02,42.3545 N,13.4743 E,648,2009,2009
4A,MI03,42.3274 N,13.4757 E,581,2009,2009
4A,MI04,42.3031 N,13.4814 E,612,2009,2009
4A,MI05,42.2895 N,13.5253 E,585,2009,2009
4A,MI06,42.3894 N,13.4979 E,807,2009,2009
4A,MI07,42.3362 N,13.4459 E,662,2009,2009
4A,MI08,42.3574 N,13.3713 E,650,2009,2009
4A,MI09,42.3658 N,13.4144 E,782,2009,2009
4A,MI10,42.3368 N,13.4308 E,607,2009,2009
4A,PC04,42.3168 N,13.4660 E,684,2009,2009
4A,PC05,42.3169 N,13.4613 E,660,2009,2009
4C,KEA00,38.1633 N,20.5055 E,0,2011,2012
4C,KEA01,38.1634 N,20.5056 E,0,2011,2012
4C,KEA02,38.1634 N,20.5055 E,0,2011,2012
4C,KEA03,38.1633 N,20.5055 E,0,2011,2012
4C,KEA04,38.1633 N,20.5055 E,0,2011,2012
4C,KEA05,38.1633 N,20.5056 E,0,2011,2012
4C,KEA06,38.1634 N,20.5057 E,0,2011,2012
4C,KEA07,38.1634 N,20.5055 E,0,2011,2012
4C,KEA08,38.1633 N,20.5054 E,0,2011,2012
4C,KEA09,38.1632 N,20.5055 E,0,2011,2012
4C,KEA10,38.1633 N,20.5057 E,0,2011,2012
4C,KEA11,38.1636 N,20.5058 E,0,2011,2012
4C,KEA12,38.1636 N,20.5053 E,0,2011,2012
4C,KEA13,38.1632 N,20.5051 E,0,2011,2012
4C,KEA14,38.1630 N,20.5055 E,0,2011,2012
4C,KEA15,38.1632 N,20.5060 E,0,2011,2012
4C,KEA16,38.1639 N,20.5061 E,0,2011,2012
4C,KEA17,38.1639 N,20.5051 E,0,2011,2012
4C,KEA18,38.1631 N,20.5047 E,0,2011,2012
4C,KEA19,38.1626 N,20.5055 E,0,2011,2012
4C,KEA20,38.1631 N,20.5064 E,0,2011,2012
4C,KEB01,38.1655 N,20.5080 E,0,2011,2012
4C,KEB02,38.1657 N,20.5078 E,0,2011,2012
4C,KEB03,38.1655 N,20.5080 E,0,2011,2012
4C,KEB04,38.1656 N,20.5082 E,0,2011,2012
4C,KEB05,38.1656 N,20.5085 E,0,2011,2012
4C,KEB06,38.1652 N,20.5083 E,0,2011,2012
4C,KEB07,38.1651 N,20.5076 E,0,2011,2012
4C,KEB08,38.1654 N,20.5080 E,0,2011,2012
4C,KEB09,38.1653 N,20.5078 E,0,2011,2012
4C,KEB10,38.1655 N,20.5079 E,0,2011,2012
4C,KEC01,38.1642 N,20.5002 E,0,2012,2012
4C,KEC02,38.1643 N,20.5003 E,0,2012,2012
4C,KEC03,38.1642 N,20.5003 E,0,2012,2012
4C,KEC04,38.1642 N,20.5004 E,0,2012,2012
4C,KEC05,38.1643 N,20.5003 E,0,2012,2012
4C,KEC06,38.1642 N,20.5003 E,0,2012,2012
4C,KEC07,38.1639 N,20.5006 E,0,2012,2012
4C,KEE09,38.1524 N,20.5109 E,0,2012,2012
4C,KEE10,38.1523 N,20.5104 E,0,2012,2012
4C,KEE11,38.1517 N,20.5104 E,0,2012,2012
4C,KEE12,38.1524 N,20.5096 E,0,2012,2012
4C,KEE13,38.1519 N,20.5108 E,0,2012,2012
4C,KEE14,38.1524 N,20.5091 E,0,2012,2012
4C,KEE15,38.1510 N,20.5106 E,0,2012,2012
4C,KEE16,38.1512 N,20.5107 E,0,2012,2012
4C,KEF22,38.1522 N,20.5083 E,0,2012,2012
4C,KEF23,38.1514 N,20.5091 E,0,2012,2012
4C,KEF24,38.1516 N,20.5086 E,0,2012,2012
4C,KEG01,38.0732 N,20.7978 E,18,2011,2012
4C,KEG02,38.1834 N,20.3850 E,78,2011,2012
4C,KER01,38.1582 N,20.4905 E,122,2011,2012
4C,KER02,38.1663 N,20.5105 E,13,2011,2012
4C,KES01,38.1666 N,20.5094 E,0,2011,2012
4C,KES02,38.1663 N,20.5090 E,0,2011,2012
4C,KES03,38.1657 N,20.5087 E,0,2011,2012
4C,KES04,38.1656 N,20.5082 E,0,2011,2012
4C,KES05,38.1653 N,20.5078 E,0,2011,2012
4C,KES06,38.1649 N,20.5075 E,0,2011,2012
4C,KES07,38.1645 N,20.5073 E,0,2011,2012
4C,KES08,38.1642 N,20.5068 E,0,2011,2012
4C,KES11,38.1634 N,20.5055 E,0,2011,2012
4C,KES13,38.1633 N,20.5040 E,0,2011,2012
4C,KES14,38.1639 N,20.5022 E,1,2011,2012
4C,KES15,38.1636 N,20.5016 E,5,2011,2012
4C,KES16,38.1638 N,20.5007 E,5,2011,2012
4C,KES17,38.1639 N,20.4996 E,5,2011,2012
4C,KES18,38.1635 N,20.4990 E,8,2011,2012
4C,KES19,38.1588 N,20.5038 E,12,2011,2012
4C,KES20,38.1631 N,20.4975 E,19,2011,2012
4C,KES21,38.1617 N,20.4967 E,34,2011,2012
4C,KES22,38.1599 N,20.4949 E,64,2011,2012
4C,KES23,38.1001 N,20.5454 E,69,2011,2012
4C,KES24,38.1623 N,20.5066 E,0,2011,2012
4C,KES25,38.1594 N,20.5109 E,0,2011,2012
4C,KES26,38.1565 N,20.5132 E,0,2011,2012
4C,KES27,38.1535 N,20.5179 E,10,2011,2012
4C,KES28,38.1575 N,20.5199 E,7,2011,2012
4C,KES29,38.1605 N,20.5212 E,0,2011,2012
4C,KES30,38.1636 N,20.5033 E,6,2011,2012
6A,V01,50.2404 N,12.3298 E,635,2008,2009
6A,V02,50.2395 N,12.3256 E,649,2008,2009
6A,V03,50.2419 N,12.3293 E,633,2008,2009
6A,V04,50.2418 N,12.3243 E,643,2008,2009
6A,V05,50.2414 N,12.3280 E,639,2008,2009
6A,V07,50.2399 N,12.3286 E,638,2008,2009
6A,V08,50.2448 N,12.3247 E,645,2008,2009
6A,V09,50.2406 N,12.3262 E,645,2008,2009
6A,V10,50.2437 N,12.3282 E,637,2008,2009
6A,V11,50.2421 N,12.3269 E,639,2008,2009
6A,V12,50.2436 N,12.3340 E,624,2008,2009
6C,F01,41.3580 N,72.2339 E,645,2009,2010
6C,F02,41.6064 N,72.1208 E,910,2009,2010
6C,F03,41.4816 N,71.5923 E,1440,2009,2010
6C,F04,41.2616 N,72.4619 E,970,2009,2010
6C,F05,41.1064 N,72.6673 E,840,2009,2010
6C,F06,41.1253 N,73.3105 E,1370,2009,2010
6C,F07,40.9707 N,73.0431 E,840,2009,2009
6C,F10,40.8627 N,73.6752 E,1370,2009,2010
6C,F11,40.6368 N,73.2470 E,1290,2009,2009
6C,F12,40.0476 N,71.6606 E,1300,2009,2010
6C,F13,40.0047 N,72.0926 E,1340,2009,2010
6C,F14,40.2062 N,72.0665 E,1000,2009,2010
6C,F16,40.5694 N,73.8804 E,1800,2009,2010
6C,F17,41.6204 N,72.6916 E,1000,2009,2010
6C,F19,40.3426 N,72.6166 E,1110,2009,2010
6C,F20,41.6964 N,73.3297 E,1510,2009,2010
6C,F21,41.2425 N,72.9835 E,1010,2009,2010
6C,F22,40.4309 N,74.0889 E,2040,2009,2010
7A,LT01,1.5530 N,98.8974 E,22,2008,2008
7A,LT02,1.7847 N,98.7419 E,13,2008,2008
7A,LT03,1.9069 N,98.6145 E,38,2008,2008
7A,LT04,2.0256 N,98.3992 E,18,2008,2008
7A,LT05,2.1137 N,98.3130 E,42,2008,2008
7A,LT06,2.1980 N,98.2131 E,15,2008,2008
7A,LT09,2.6329 N,98.1084 E,255,2008,2008
7A,LT10,2.6640 N,98.1910 E,427,2008,2008
7A,LT11,2.6562 N,98.2621 E,591,2008,2008
7A,LT12,2.7190 N,98.3863 E,1158,2008,2008
7A,LT13,2.6262 N,98.4846 E,1424,2008,2008
7A,LT14,2.5182 N,98.6395 E,1873,2008,2008
7A,LT16,2.2786 N,98.7468 E,1415,2008,2008
7A,LT17,2.2651 N,98.8496 E,1409,2008,2008
7A,LT18,2.2286 N,98.9360 E,1343,2008,2008
7A,LT19,2.1041 N,98.9587 E,1118,2008,2008
7A,LT20,1.9505 N,98.9441 E,1147,2008,2008
7A,LT21,1.8643 N,98.9069 E,786,2008,2008
7A,LT23,2.1607 N,98.6295 E,1164,2008,2008
7A,LT24,2.1536 N,98.4766 E,522,2008,2008
7A,LT25,2.2844 N,98.3630 E,353,2008,2008
7A,LT27,2.6427 N,98.4242 E,1516,2008,2008
7A,LT28,2.3214 N,98.4995 E,996,2008,2008
7A,LT31,2.4378 N,98.8867 E,917,2008,2008
7A,LT32,2.5704 N,98.7168 E,918,2008,2008
7A,LT33,2.7168 N,98.6926 E,918,2008,2008
7A,LT34,2.6776 N,98.8370 E,919,2008,2008
7A,LT35,2.3311 N,99.0526 E,959,2008,2008
7A,LT36,2.4315 N,99.1629 E,926,2008,2008
7A,LT37,2.5427 N,99.0926 E,1088,2008,2008
7A,LT38,2.6207 N,98.9887 E,1231,2008,2008
7A,LT39,2.6952 N,98.9240 E,1071,2008,2008
7A,LT40,2.8160 N,98.8105 E,1212,2008,2008
7A,LT41,2.9035 N,98.6929 E,1334,2008,2008
7A,LT42,2.9342 N,98.6018 E,1415,2008,2008
7A,LT43,2.8808 N,98.5004 E,1512,2008,2008
7A,LT44,3.1124 N,98.5638 E,1240,2008,2008
7A,LT45,2.9623 N,98.8509 E,1006,2008,2008
7A,LT47,2.8150 N,99.1771 E,340,2008,2008
7A,LT48,2.5624 N,99.3391 E,217,2008,2008
7A,LT49,1.7852 N,99.1178 E,483,2008,2008
7A,LT50,2.9626 N,98.8505 E,1006,2008,2008
7C,AIR,11.1467 N,42.1622 E,490,2010,2010
7C,ARTA,11.5263 N,42.8472 E,722,2010,2011
7C,ASE,11.0043 N,42.1037 E,361,2009,2010
7C,ATA2,11.4543 N,43.2034 E,107,2010,2011
7C,BLS,11.5906 N,42.5178 E,78,2009,2011
7C,DAF2,11.6077 N,42.5292 E,100,2009,2010
7C,DAO,11.7603 N,42.1404 E,148,2010,2011
7C,DAY,11.7529 N,42.6376 E,1782,2010,2011
7C,DLM,11.6148 N,42.5388 E,356,2009,2010
7C,FIEA,11.5894 N,42.5065 E,100,2009,2010
7C,FIK2,11.5924 N,42.5108 E,101,2009,2011
7C,GAG,11.5344 N,42.3260 E,108,2009,2010
7C,GID,11.4009 N,42.3138 E,145,2009,2010
7C,GOR,11.2880 N,42.2234 E,265,2009,2011
7C,KKO,11.5188 N,42.4221 E,162,2009,2010
7C,LDL2,11.5844 N,42.4986 E,115,2009,2011
7C,MCH,11.7301 N,43.2123 E,10,2010,2011
7C,MOY2,11.6303 N,42.4917 E,-12,2009,2010
7C,NRAE,11.6424 N,42.5781 E,466,2010,2011
7C,OBO2,11.9849 N,43.2912 E,47,2010,2011
7C,ODK2,11.5974 N,42.4864 E,48,2009,2010
7C,PCKD,11.5349 N,42.4453 E,379,2009,2011
7C,PGMD,11.6174 N,42.5559 E,470,2009,2011
7C,PTLY,11.5593 N,42.4974 E,239,2009,2010
7C,PTRF,11.5515 N,42.4856 E,206,2009,2010
7C,PTRN,11.5984 N,42.5134 E,179,2009,2010
7C,RAND,11.8472 N,42.6625 E,881,2009,2011
7C,SBLV,11.5783 N,42.4945 E,107,2009,2010
7C,WADA,11.5573 N,42.4545 E,120,2009,2010
7C,WAY,11.6772 N,42.5990 E,657,2009,2010
7C,YOB,11.5101 N,42.1061 E,226,2010,2011
7E,AUM2,50.6059 N,12.6786 E,0,2006,2006
7E,BG03,50.6604 N,10.9145 E,0,2006,2007
7E,BG16,49.8467 N,11.7407 E,533,2006,2007
7E,FRAU,50.6953 N,12.3216 E,0,2006,2007
7E,HSKC,50.6073 N,13.4315 E,590,2006,2008
7E,JAC,50.3718 N,12.9132 E,745,2006,2008
7E,MIL,50.5403 N,13.9357 E,415,2006,2008
7E,OST,50.5565 N,16.2156 E,560,2006,2008
7E,PA01,49.1062 N,10.1688 E,538,2006,2008
7E,PA03,49.6829 N,10.9029 E,409,2006,2007
7E,PA07,50.1000 N,12.3360 E,480,2006,2008
7E,PA10,50.4903 N,13.1355 E,730,2006,2008
7E,PA20,51.1264 N,14.5454 E,380,2006,2008
7E,PA63,51.5324 N,15.4191 E,132,2006,2006
7E,PA64,51.7915 N,16.0036 E,77,2006,2007
7E,PA65,52.0766 N,16.8366 E,90,2006,2007
7E,PA66,52.4092 N,17.4722 E,115,2006,2007
7E,PA67,52.6573 N,18.3505 E,74,2006,2007
7E,PA68,52.9606 N,19.0508 E,96,2006,2007
7E,PA69,53.2387 N,19.8420 E,142,2006,2007
7E,PA70,53.4720 N,20.5229 E,157,2006,2007
7E,PA71,53.7424 N,21.4321 E,130,2006,2007
7E,PA73,54.3191 N,22.9493 E,148,2006,2007
7E,PA81,54.5510 N,23.7540 E,134,2007,2007
7E,PA82,54.8080 N,24.9880 E,162,2006,2007
7E,PB04,49.7460 N,11.4245 E,394,2006,2007
7E,PB09,50.5358 N,13.1932 E,886,2006,2007
7E,PB12,50.6511 N,13.6488 E,861,2007,2008
7E,PB14,50.7805 N,13.8336 E,510,2006,2008
7E,PB16,50.9965 N,14.1043 E,205,2006,2008
7E,PB19,51.0850 N,14.2905 E,381,2006,2008
7E,PB22,51.1944 N,14.6635 E,180,2006,2008
7E,PB23,51.2676 N,14.7839 E,160,2006,2006
7E,PB23B,51.2535 N,14.7784 E,160,2006,2008
7E,PB25,51.3560 N,14.9650 E,160,2006,2007
7E,PB41,51.3998 N,15.0891 E,158,2006,2008
7E,PB42,51.4676 N,15.2055 E,134,2006,2008
7E,PB43,51.6310 N,15.7091 E,152,2006,2008
7E,PB44,51.6889 N,15.8178 E,166,2006,2008
7E,PB45,51.9093 N,16.3877 E,106,2006,2008
7E,PB46,51.9817 N,16.4970 E,130,2006,2007
7E,PB46B,51.9741 N,16.4753 E,113,2007,2008
7E,PB47,52.1442 N,17.0076 E,58,2006,2008
7E,PB48,52.2849 N,17.3464 E,87,2007,2008
7E,PB49,52.4918 N,17.8048 E,164,2006,2008
7E,PB50,52.5738 N,18.1279 E,96,2006,2008
7E,PB51,52.7415 N,18.5601 E,90,2006,2008
7E,PB52,52.8589 N,18.8680 E,45,2006,2008
7E,PB53,53.0016 N,19.2140 E,78,2006,2008
7E,PB54,53.1601 N,19.6526 E,128,2006,2008
7E,PB55,53.3032 N,20.1516 E,173,2006,2008
7E,PB56,53.3777 N,20.4885 E,178,2006,2008
7E,PB57,53.6294 N,20.9086 E,124,2006,2008
7E,PB58,53.6965 N,21.1554 E,150,2006,2007
7E,PB58,53.6965 N,21.1554 E,216,2007,2008
7E,PB59,53.8226 N,21.7022 E,128,2006,2007
7E,PB60,53.9503 N,22.0117 E,154,2006,2007
7E,PB61,54.1635 N,22.5943 E,252,2006,2008
7E,PB62,54.2402 N,22.8404 E,214,2007,2008
7E,PB63,54.0566 N,22.2698 E,154,2007,2007
7E,PB64,51.4870 N,15.3687 E,128,2007,2008
7E,PB65,52.0763 N,16.8366 E,90,2007,2008
7E,PB81,54.4387 N,23.1662 E,127,2006,2007
7E,PB82,54.4571 N,23.6405 E,84,2006,2007
7E,PB83,54.6188 N,24.0973 E,110,2006,2007
7E,PB84,54.7442 N,24.4874 E,143,2006,2007
7E,PB85,54.7800 N,24.6800 E,101,2006,2007
7E,PB86,54.9821 N,25.2389 E,140,2006,2007
7E,PB87,55.0601 N,25.4510 E,175,2006,2007
7E,PB88,55.1669 N,25.8422 E,150,2006,2007
7E,PC21,49.6700 N,12.6780 E,732,2006,2008
7E,PC23,49.9774 N,13.1686 E,520,2006,2008
7E,PC26,50.0860 N,12.8400 E,547,2006,2008
7E,PC32,50.7915 N,15.1957 E,690,2006,2008
7E,PD22,49.8590 N,12.9370 E,499,2006,2008
7E,PD24,50.0810 N,13.4760 E,543,2006,2008
7E,PD25,50.2520 N,13.3700 E,299,2006,2008
7E,PD28,50.4340 N,14.0140 E,454,2006,2008
7E,PD29,50.3860 N,14.2900 E,255,2006,2008
7E,PD30,50.6860 N,14.8520 E,342,2006,2008
7E,PD31,50.7120 N,14.9660 E,460,2006,2008
7E,PD41,51.0737 N,15.6368 E,270,2006,2008
7E,PD42,51.3799 N,16.3752 E,104,2006,2008
7E,PD43,51.6553 N,17.2284 E,99,2006,2008
7E,PD44,51.9710 N,18.0363 E,105,2006,2008
7E,PD45,52.3633 N,18.8092 E,113,2006,2008
7E,PD46,52.5791 N,19.6068 E,101,2006,2008
7E,PD47,52.8765 N,20.3658 E,112,2006,2008
7E,PD48,53.1649 N,21.0910 E,106,2006,2008
7E,PD49,53.3622 N,21.7898 E,102,2006,2008
7E,PD50,53.6637 N,22.6811 E,117,2006,2008
7E,PD81,54.0056 N,23.7865 E,113,2006,2007
7E,PD82,54.2990 N,24.4814 E,140,2006,2007
7E,PD83,54.4802 N,25.1464 E,140,2006,2007
7E,PF21,49.4680 N,13.1740 E,580,2006,2008
7E,PF22,49.8900 N,13.8870 E,500,2006,2008
7E,PF23,50.2880 N,15.0240 E,273,2006,2007
7E,PF23A,50.2965 N,15.0792 E,229,2007,2008
7E,PF24,50.4940 N,15.4460 E,642,2006,2008
7E,PF41,51.2130 N,17.1550 E,137,2006,2008
7E,PF42,51.5022 N,17.9694 E,188,2006,2008
7E,PF43,51.8198 N,19.0269 E,140,2006,2008
7E,PF44,52.3579 N,20.1613 E,73,2006,2006
7E,PF44,52.3579 N,20.1613 E,59,2006,2007
7E,PF44,52.3579 N,20.1613 E,119,2007,2008
7E,PF45,52.7065 N,21.2280 E,100,2006,2008
7E,PF46,53.0239 N,22.2165 E,107,2006,2008
7E,PF47,53.3711 N,23.2324 E,189,2006,2008
7E,PFG21,49.4390 N,14.1930 E,373,2006,2008
7E,PG01,48.4204 N,12.0779 E,449,2006,2007
7E,PG01,48.5871 N,12.0780 E,437,2007,2007
7E,PG22,49.6430 N,14.8990 E,446,2006,2008
7E,PG23,50.0800 N,15.8120 E,316,2007,2008
7E,PG41,50.7510 N,17.3330 E,137,2006,2008
7E,PG42,51.0980 N,18.0640 E,180,2006,2008
7E,PG43,51.4720 N,18.7240 E,169,2006,2008
7E,PG44,51.6100 N,19.6530 E,185,2006,2008
7E,PG45,51.8880 N,20.5950 E,197,2006,2008
7E,PG46,52.5271 N,21.9582 E,157,2006,2007
7E,PG47,52.8021 N,22.7613 E,134,2006,2007
7E,PH46,52.5272 N,21.9583 E,152,2007,2008
7E,PH47,52.8021 N,22.7613 E,124,2007,2008
7E,PH49,53.0588 N,23.6034 E,150,2006,2008
7E,PJ41,50.7411 N,18.3708 E,227,2006,2008
7E,PJ42,51.1275 N,19.3173 E,232,2006,2008
