Net,Sta,Lat,Lon,Elev,Start,End
IV,IVGP,38.3968 N,14.9608 E,150,2012,
IV,IVPL,38.3763 N,14.9801 E,486,2005,
IV,IVUG,38.3960 N,14.9860 E,250,2009,2011
IV,JOPP,38.6068 N,15.8856 E,500,2006,
IV,LADO,39.2840 N,16.9795 E,488,2008,
IV,LATB,41.4939 N,12.9624 E,0,2012,
IV,LATE,42.6137 N,11.8040 E,610,2006,
IV,LAV9,41.6778 N,12.6989 E,300,2003,
IV,LEOD,45.4582 N,10.1234 E,92,2012,
IV,LIK,41.4996 N,13.5594 E,312,2015,
IV,LINA,35.8716 N,12.8634 E,63,2013,
IV,LMD,44.0775 N,11.7073 E,450,2013,
IV,LNSS,42.6029 N,13.0403 E,1155,2004,
IV,LPDG,35.5183 N,12.6302 E,50,2012,
IV,LPEL,42.0468 N,14.1832 E,760,2008,
IV,LRP,41.6471 N,13.5866 E,372,2016,
IV,LTRZ,40.6032 N,16.8191 E,381,2003,
IV,MA9,41.7698 N,12.6591 E,340,2008,
IV,MAB1,41.2590 N,14.4958 E,723,1997,2000
IV,MABI,46.0549 N,10.5140 E,1853,2003,
IV,MAGA,45.7753 N,10.6286 E,1265,2006,
IV,MAGO,43.2732 N,10.6579 E,280,2017,
IV,MALI,38.0530 N,15.4000 E,1005,2007,2009
IV,MAON,42.4283 N,11.1309 E,237,2003,
IV,MARS,37.7532 N,12.5647 E,65,2017,
IV,MC2,42.9114 N,13.1890 E,2,2009,
IV,MCEL,40.3249 N,15.8019 E,960,2006,
IV,MCI,41.4910 N,13.8130 E,493,2017,
IV,MCIV,42.7786 N,11.6765 E,790,2010,
IV,MCPD,38.1199 N,14.7310 E,199,2012,
IV,MCRV,40.7826 N,15.1684 E,1191,2005,
IV,MCSR,38.0646 N,15.2301 E,1064,2010,
IV,MCT,37.6186 N,13.6076 E,1558,2003,
IV,MDAR,43.1927 N,13.1427 E,940,2008,
IV,MDI,45.7697 N,9.7160 E,954,2004,
IV,ME01,37.9329 N,14.3611 E,944,2007,2009
IV,ME02,38.0332 N,14.5901 E,677,2007,2009
IV,ME03,38.3301 N,15.8374 E,567,2007,2009
IV,ME04,38.5928 N,16.3576 E,907,2007,2008
IV,ME05,38.1243 N,15.8999 E,1458,2007,2010
IV,ME07,38.0813 N,14.8116 E,739,2007,2008
IV,ME09,37.9524 N,15.7564 E,244,2008,2010
IV,ME10,38.3029 N,16.1953 E,728,2007,2009
IV,ME12,38.6315 N,15.0700 E,120,2007,2010
IV,ME15,38.1708 N,14.8988 E,116,2008,2010
IV,MELA,41.7059 N,15.1270 E,115,2008,
